Power,Size,Version,cudaMalloc_Time,Host_to_Device_Time,Sort_Time,Device_to_Host_Time,Total_Time_with_Malloc,Total_Time_without_Malloc,QuickSort_Sequential,Parallel_Sort
15,32768,v0,0.461558,0.001029,0.016656,0.000049,0.479292,0.017734,0.003745,0.002028
15,32768,v1,0.181429,0.000801,0.006323,0.000197,0.188750,0.007321,0.003745,0.002028
15,32768,v2,0.179912,0.001011,0.004991,0.000154,0.186068,0.006156,0.003745,0.002028
16,65536,v0,0.179245,0.000083,0.002416,0.000065,0.181809,0.002564,0.007677,0.002784
16,65536,v1,0.179837,0.000084,0.002609,0.000201,0.182733,0.002895,0.007677,0.002784
16,65536,v2,0.178632,0.000092,0.002318,0.000255,0.181297,0.002664,0.007677,0.002784
17,131072,v0,0.179118,0.000147,0.002792,0.000149,0.182206,0.003087,0.015713,0.005527
17,131072,v1,0.178542,0.000136,0.002050,0.000482,0.181210,0.002668,0.015713,0.005527
17,131072,v2,0.177414,0.000141,0.002351,0.000518,0.180425,0.003010,0.015713,0.005527
18,262144,v0,0.179538,0.000244,0.003485,0.000246,0.183513,0.003975,0.032342,0.010299
18,262144,v1,0.178113,0.000246,0.002442,0.000828,0.181630,0.003517,0.032342,0.010299
18,262144,v2,0.178432,0.000245,0.002711,0.000922,0.182309,0.003877,0.032342,0.010299
19,524288,v0,0.179783,0.000445,0.003619,0.000324,0.184171,0.004388,0.066246,0.032067
19,524288,v1,0.178040,0.000435,0.002525,0.001582,0.182583,0.004542,0.066246,0.032067
19,524288,v2,0.178214,0.000432,0.002764,0.001500,0.182911,0.004696,0.066246,0.032067
20,1048576,v0,0.179577,0.000721,0.006063,0.000777,0.187138,0.007560,0.135485,0.041049
20,1048576,v1,0.178741,0.000723,0.002111,0.003459,0.185034,0.006293,0.135485,0.041049
20,1048576,v2,0.178251,0.000741,0.002823,0.003385,0.185200,0.006949,0.135485,0.041049
21,2097152,v0,0.179286,0.001345,0.009817,0.001519,0.191968,0.012682,0.277279,0.086247
21,2097152,v1,0.178792,0.001363,0.003209,0.007157,0.190521,0.011729,0.277279,0.086247
21,2097152,v2,0.179943,0.001401,0.002431,0.007012,0.190787,0.010843,0.277279,0.086247
22,4194304,v0,0.182891,0.002601,0.018517,0.001787,0.205796,0.022905,0.568027,0.178383
22,4194304,v1,0.179436,0.002595,0.003136,0.014743,0.199910,0.020474,0.568027,0.178383
22,4194304,v2,0.179204,0.002589,0.002476,0.014536,0.198805,0.019601,0.568027,0.178383
23,8388608,v0,0.182801,0.004877,0.044893,0.005497,0.238069,0.055267,1.165850,0.369179
23,8388608,v1,0.185587,0.004850,0.002488,0.029292,0.222217,0.036630,1.165850,0.369179
23,8388608,v2,0.179722,0.004861,0.002551,0.030739,0.217874,0.038152,1.165850,0.369179
24,16777216,v0,0.183015,0.009194,0.068989,0.010859,0.272058,0.089043,2.389348,0.763142
24,16777216,v1,0.180119,0.009241,0.002762,0.064002,0.256124,0.076005,2.389348,0.763142
24,16777216,v2,0.180119,0.009256,0.002364,0.066006,0.257746,0.077626,2.389348,0.763142
25,33554432,v0,0.180361,0.017607,0.142193,0.011243,0.351403,0.171042,4.906866,1.596266
25,33554432,v1,0.180012,0.017542,0.002824,0.136548,0.336927,0.156914,4.906866,1.596266
25,33554432,v2,0.182335,0.017855,0.002296,0.130332,0.332818,0.150483,4.906866,1.596266
26,67108864,v0,0.180580,0.034945,0.299578,0.041744,0.556846,0.376266,10.043821,3.285755
26,67108864,v1,0.180045,0.034772,0.002428,0.269597,0.486842,0.306797,10.043821,3.285755
26,67108864,v2,0.181508,0.035302,0.002736,0.298586,0.518132,0.336624,10.043821,3.285755
27,134217728,v0,0.193488,0.069338,0.635869,0.042924,0.941619,0.748131,20.578749,6.835703
27,134217728,v1,0.180969,0.068492,0.004767,0.576803,0.831032,0.650062,20.578749,6.835703
27,134217728,v2,0.180265,0.069107,0.003968,0.634207,0.887547,0.707282,20.578749,6.835703
28,268435456,v0,0.186505,0.136955,1.346863,0.085081,1.755404,1.568899,42.108344,14.329778
28,268435456,v1,0.185388,0.136949,0.002852,1.313630,1.638820,1.453431,42.108344,14.329778
28,268435456,v2,0.179544,0.138540,0.002825,1.263971,1.584880,1.405336,42.108344,14.329778
