Power,Size,Version,cudaMalloc_Time,Host_to_Device_Time,Sort_Time,Device_to_Host_Time,Total_Time_with_Malloc,Total_Time_without_Malloc,QuickSort_Sequential,Parallel_Sort
15,32768,v0,0.143412,0.000026,0.000282,0.000046,0.143767,0.000354,0.002005,0.000984
15,32768,v1,0.112342,0.000026,0.000147,0.000053,0.112569,0.000226,0.002005,0.000984
15,32768,v2,0.112751,0.000026,0.000140,0.000059,0.112976,0.000225,0.002005,0.000984
16,65536,v0,0.114647,0.000042,0.000340,0.000062,0.115092,0.000445,0.004188,0.001850
16,65536,v1,0.105398,0.000033,0.000156,0.000118,0.105705,0.000307,0.004188,0.001850
16,65536,v2,0.106260,0.000033,0.000147,0.000136,0.106577,0.000317,0.004188,0.001850
17,131072,v0,0.111130,0.000049,0.000463,0.000114,0.111755,0.000625,0.009034,0.003401
17,131072,v1,0.109056,0.000066,0.000165,0.000213,0.109499,0.000443,0.009034,0.003401
17,131072,v2,0.106376,0.000056,0.000155,0.000255,0.106842,0.000466,0.009034,0.003401
18,262144,v0,0.111681,0.000082,0.000782,0.000218,0.112763,0.001081,0.018219,0.006861
18,262144,v1,0.110531,0.000081,0.000218,0.000456,0.111285,0.000754,0.018219,0.006861
18,262144,v2,0.107926,0.000081,0.000217,0.000554,0.108778,0.000852,0.018219,0.006861
19,524288,v0,0.108282,0.000183,0.001331,0.000389,0.110185,0.001903,0.037159,0.014129
19,524288,v1,0.107360,0.000316,0.000349,0.000893,0.108918,0.001558,0.037159,0.014129
19,524288,v2,0.106876,0.000185,0.000277,0.001045,0.108383,0.001506,0.037159,0.014129
20,1048576,v0,0.110435,0.000467,0.002462,0.000654,0.114017,0.003582,0.075137,0.029606
20,1048576,v1,0.105601,0.000476,0.000318,0.001790,0.108185,0.002584,0.075137,0.029606
20,1048576,v2,0.108361,0.000508,0.000329,0.002302,0.111501,0.003140,0.075137,0.029606
21,2097152,v0,0.107954,0.001243,0.005078,0.001290,0.115565,0.007610,0.154943,0.060891
21,2097152,v1,0.115883,0.001098,0.000490,0.004431,0.121902,0.006019,0.154943,0.060891
21,2097152,v2,0.116593,0.001056,0.000342,0.004699,0.122690,0.006097,0.154943,0.060891
22,4194304,v0,0.117192,0.002439,0.012626,0.002390,0.134647,0.017454,0.317120,0.125692
22,4194304,v1,0.112978,0.002284,0.000345,0.008625,0.124232,0.011254,0.317120,0.125692
22,4194304,v2,0.117100,0.002329,0.000356,0.010726,0.130511,0.013411,0.317120,0.125692
23,8388608,v0,0.121529,0.004687,0.051007,0.004971,0.182194,0.060665,0.647345,0.259993
23,8388608,v1,0.114151,0.004826,0.000354,0.027386,0.146718,0.032567,0.647345,0.259993
23,8388608,v2,0.114472,0.004692,0.000355,0.033524,0.153044,0.038572,0.647345,0.259993
24,16777216,v0,0.129015,0.010432,0.112130,0.009717,0.261294,0.132279,1.334878,0.496197
24,16777216,v1,0.105829,0.010067,0.000442,0.058942,0.175280,0.069451,1.334878,0.496197
24,16777216,v2,0.131468,0.010022,0.000440,0.079384,0.221314,0.089846,1.334878,0.496197
25,33554432,v0,0.148133,0.020393,0.289003,0.019402,0.476932,0.328798,2.747267,1.002089
25,33554432,v1,0.117098,0.020212,0.000455,0.154830,0.292595,0.175497,2.747267,1.002089
25,33554432,v2,0.117866,0.019903,0.000480,0.178000,0.316249,0.198383,2.747267,1.002089
26,67108864,v0,0.126335,0.041124,0.546182,0.038119,0.751761,0.625425,5.572010,1.992052
26,67108864,v1,0.114393,0.041572,0.001201,0.327582,0.484749,0.370356,5.572010,1.992052
26,67108864,v2,0.115889,0.040358,0.000482,0.370397,0.527127,0.411237,5.572010,1.992052
27,134217728,v0,0.113907,0.081008,1.062666,0.079721,1.337302,1.223395,11.313033,4.127177
27,134217728,v1,0.128436,0.081448,0.000531,0.616501,0.826916,0.698480,11.313033,4.127177
27,134217728,v2,0.127558,0.078931,0.000506,0.714633,0.921628,0.794070,11.313033,4.127177
28,268435456,v0,0.151627,0.163496,2.417483,0.150752,2.883359,2.731731,23.412174,8.313328
28,268435456,v1,0.141077,0.160942,0.000527,1.363707,1.666254,1.525176,23.412174,8.313328
28,268435456,v2,0.139560,0.169891,0.000562,1.488478,1.798491,1.658931,23.412174,8.313328
